Cap,Name,Type,Status,Location,Ref,Connect,DateOn,Country
635,VERMONT YANKEE,BWR,Permanent Shutdown,VERNON,605,1972-09-20,1972-09-20,US
1006,SUMMER-1,PWR,Operational,JENKINSVILLE,973,1982-11-16,1982-11-16,US
1229,VOGTLE-1,PWR,Operational,WAYNESBORO,1150,1987-03-27,1987-03-27,US
1229,VOGTLE-2,PWR,Operational,WAYNESBORO,1152,1989-04-10,1989-04-10,US
1250,VOGTLE-3,PWR,Under Construction,WAYNESBORO,1117,,NA,US
1250,VOGTLE-4,PWR,Under Construction,WAYNESBORO,1117,,NA,US
1250,WATERFORD-3,PWR,Operational,TAFT,1168,1985-03-18,1985-03-18,US
1210,WATTS BAR-1,PWR,Operational,SPRING CITY,1157,1996-02-06,1996-02-06,US
1218,WATTS BAR-2,PWR,Operational,SPRING CITY,1164,2016-06-03,2016-06-03,US
1285,WOLF CREEK,PWR,Operational,BURLINGTON,1200,1985-06-12,1985-06-12,US
180,YANKEE NPS,PWR,Permanent Shutdown,ROWE,167,1960-11-10,1960-11-10,US
1085,ZION-1,PWR,Permanent Shutdown,ZION,1040,1973-06-28,1973-06-28,US
1085,ZION-2,PWR,Permanent Shutdown,ZION,1040,1973-12-26,1973-12-26,US
