attribute,value,reactorName
Model,VVER V-491,BELARUSIAN-2
Owner,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",BELARUSIAN-2
Operator,"Republican Unitary Enterprise ""Belarusian Nuclear Power Plant""",BELARUSIAN-2
Construction Start,"Sunday, 27 April 2014",BELARUSIAN-2
First Criticality,"Monday, 27 March 2023",BELARUSIAN-2
First Grid Connection,"Saturday, 13 May 2023",BELARUSIAN-2
Commercial Operation,"Wednesday, 1 November 2023",BELARUSIAN-2
Capacity Net,1110 MWe,BELARUSIAN-2
Capacity Gross,1194 MWe,BELARUSIAN-2
Thermal Capacity,3200 MWt,BELARUSIAN-2
Design Net Capacity,1110 MWe,BELARUSIAN-2
Total GWh,3321.12,BELARUSIAN-2
Reactor Type,Pressurised Water Reactor (or PWR),BR-3
Model,Prototype,BR-3
Owner,SCK-CEN,BR-3
Operator,SCK-CEN,BR-3
Construction Start,"Friday, 1 November 1957",BR-3
First Criticality,"Wednesday, 29 August 1962",BR-3
First Grid Connection,"Wednesday, 10 October 1962",BR-3
Commercial Operation,"Wednesday, 10 October 1962",BR-3
Permanent Shutdown,"Tuesday, 30 June 1987",BR-3
Capacity Net,10 MWe,BR-3
Capacity Gross,12 MWe,BR-3
Thermal Capacity,41 MWt,BR-3
Design Net Capacity,11 MWe,BR-3
Total GWh,450.68,BR-3
Reactor Type,Pressurised Water Reactor (or PWR),DOEL-1
Model,W (2-loop),DOEL-1
Owner,"Indivision Doel (Ebes , Intercom , Unerg)",DOEL-1
Operator,Engie Electrabel + Edf Belgium + Edf Luminus,DOEL-1
Construction Start,"Tuesday, 1 July 1969",DOEL-1
First Criticality,"Thursday, 18 July 1974",DOEL-1
First Grid Connection,"Wednesday, 28 August 1974",DOEL-1
Commercial Operation,"Saturday, 15 February 1975",DOEL-1
Capacity Net,445 MWe,DOEL-1
Capacity Gross,454 MWe,DOEL-1
Thermal Capacity,1311 MWt,DOEL-1
Design Net Capacity,392 MWe,DOEL-1
Total GWh,143884.32,DOEL-1
Reactor Type,Pressurised Water Reactor (or PWR),DOEL-2
Model,W (2-loop),DOEL-2
Owner,"Indivision Doel (Ebes , Intercom , Unerg)",DOEL-2
Operator,Engie Electrabel + Edf Belgium + Edf Luminus,DOEL-2
Construction Start,"Wednesday, 1 September 1971",DOEL-2
First Criticality,"Monday, 4 August 1975",DOEL-2
First Grid Connection,"Thursday, 21 August 1975",DOEL-2
Commercial Operation,"Monday, 1 December 1975",DOEL-2
Capacity Net,445 MWe,DOEL-2
Capacity Gross,454 MWe,DOEL-2
Thermal Capacity,1311 MWt,DOEL-2
Design Net Capacity,445 MWe,DOEL-2
Total GWh,142246.98,DOEL-2
Reactor Type,Pressurised Water Reactor (or PWR),DOEL-3
Model,W (3-loop),DOEL-3
Owner,Societes Reunies D'Energie Du Bassin De L'Escaut SA,DOEL-3
Operator,Engie Electrabel + Edf Belgium + Edf Luminus,DOEL-3
Construction Start,"Wednesday, 1 January 1975",DOEL-3
First Criticality,"Monday, 14 June 1982",DOEL-3
First Grid Connection,"Wednesday, 23 June 1982",DOEL-3
Commercial Operation,"Friday, 1 October 1982",DOEL-3
Permanent Shutdown,"Friday, 23 September 2022",DOEL-3
Capacity Net,1006 MWe,DOEL-3
Capacity Gross,1056 MWe,DOEL-3
Thermal Capacity,3054 MWt,DOEL-3
Design Net Capacity,890 MWe,DOEL-3
Total GWh,270906.13,DOEL-3
Reactor Type,Pressurised Water Reactor (or PWR),DOEL-4
Model,W (3-loop),DOEL-4
Owner,Societes Reunies D'Energie Du Bassin De L'Escaut SA,DOEL-4
Operator,Engie Electrabel + Edf Belgium + Edf Luminus,DOEL-4
Construction Start,"Friday, 1 December 1978",DOEL-4
First Criticality,"Sunday, 31 March 1985",DOEL-4
First Grid Connection,"Monday, 8 April 1985",DOEL-4
Commercial Operation,"Monday, 1 July 1985",DOEL-4
Capacity Net,1026 MWe,DOEL-4
Capacity Gross,1090 MWe,DOEL-4
Thermal Capacity,2988 MWt,DOEL-4
Design Net Capacity,1000 MWe,DOEL-4
Total GWh,286542.08,DOEL-4
Reactor Type,Pressurised Water Reactor (or PWR),TIHANGE-1
Model,Framatome 3 loops reactor,TIHANGE-1
Owner,Societe Belgo-Francaise D'Energie Nucleaire Mosane (Part of EDF),TIHANGE-1
Operator,Engie Electrabel,TIHANGE-1
Construction Start,"Monday, 1 June 1970",TIHANGE-1
First Criticality,"Friday, 21 February 1975",TIHANGE-1
First Grid Connection,"Friday, 7 March 1975",TIHANGE-1
Commercial Operation,"Wednesday, 1 October 1975",TIHANGE-1
Capacity Net,962 MWe,TIHANGE-1
Capacity Gross,1009 MWe,TIHANGE-1
Thermal Capacity,2873 MWt,TIHANGE-1
Design Net Capacity,870 MWe,TIHANGE-1
Total GWh,314009.8,TIHANGE-1
Reactor Type,Pressurised Water Reactor (or PWR),TIHANGE-2
Model,W (3-loop),TIHANGE-2
Owner,Engie Electrabel,TIHANGE-2
Operator,Engie Electrabel,TIHANGE-2
Construction Start,"Thursday, 1 April 1976",TIHANGE-2
First Criticality,"Tuesday, 5 October 1982",TIHANGE-2
First Grid Connection,"Wednesday, 13 October 1982",TIHANGE-2
Commercial Operation,"Wednesday, 1 June 1983",TIHANGE-2
Permanent Shutdown,"Tuesday, 31 January 2023",TIHANGE-2
Capacity Net,1008 MWe,TIHANGE-2
Capacity Gross,1055 MWe,TIHANGE-2
Thermal Capacity,3064 MWt,TIHANGE-2
Design Net Capacity,900 MWe,TIHANGE-2
Total GWh,270828.93,TIHANGE-2
Reactor Type,Pressurised Water Reactor (or PWR),TIHANGE-3
Model,W (3-loop),TIHANGE-3
Owner,Engie Electrabel,TIHANGE-3
Operator,Engie Electrabel,TIHANGE-3
Construction Start,"Wednesday, 1 November 1978",TIHANGE-3
First Criticality,"Wednesday, 5 June 1985",TIHANGE-3
First Grid Connection,"Saturday, 15 June 1985",TIHANGE-3
Commercial Operation,"Sunday, 1 September 1985",TIHANGE-3
Capacity Net,1030 MWe,TIHANGE-3
Capacity Gross,1089 MWe,TIHANGE-3
Thermal Capacity,3000 MWt,TIHANGE-3
Design Net Capacity,1020 MWe,TIHANGE-3
Total GWh,293526.07,TIHANGE-3
Reactor Type,Pressurised Water Reactor (or PWR),ANGRA-1
Model,2-loop WE,ANGRA-1
Owner,Eletronuclear S.A.,ANGRA-1
Operator,Eletronuclear S.A.,ANGRA-1
Construction Start,"Saturday, 1 May 1971",ANGRA-1
First Criticality,"Saturday, 13 March 1982",ANGRA-1
First Grid Connection,"Thursday, 1 April 1982",ANGRA-1
Commercial Operation,"Tuesday, 1 January 1985",ANGRA-1
Capacity Net,609 MWe,ANGRA-1
Capacity Gross,640 MWe,ANGRA-1
Thermal Capacity,1882 MWt,ANGRA-1
Design Net Capacity,626 MWe,ANGRA-1
Total GWh,123721.34,ANGRA-1
Reactor Type,Pressurised Water Reactor (or PWR),ANGRA-2
Model,PRE KONVOI,ANGRA-2
Owner,Eletronuclear S.A.,ANGRA-2
Operator,Eletronuclear S.A.,ANGRA-2
Construction Start,"Thursday, 1 January 1976",ANGRA-2
First Criticality,"Friday, 14 July 2000",ANGRA-2
First Grid Connection,"Friday, 21 July 2000",ANGRA-2
Commercial Operation,"Thursday, 1 February 2001",ANGRA-2
Capacity Net,1275 MWe,ANGRA-2
Capacity Gross,1350 MWe,ANGRA-2
Thermal Capacity,3764 MWt,ANGRA-2
Design Net Capacity,1245 MWe,ANGRA-2
Total GWh,219163.92,ANGRA-2
Reactor Type,Pressurised Water Reactor (or PWR),ANGRA-3
Model,PRE KONVOI,ANGRA-3
Owner,Eletronuclear S.A.,ANGRA-3
Operator,Eletronuclear S.A.,ANGRA-3
Construction Start,"Sunday, 30 May 2010",ANGRA-3
Capacity Net,1340 MWe,ANGRA-3
Capacity Gross,1405 MWe,ANGRA-3
Thermal Capacity,3900 MWt,ANGRA-3
Design Net Capacity,1340 MWe,ANGRA-3
Total GWh,0,ANGRA-3
Reactor Type,Pressurised Water Reactor (or PWR),KOZLODUY-1
Model,VVER V-230,KOZLODUY-1
Owner,State Enterprise “Radio Active Waste”,KOZLODUY-1
Operator,Kozloduy NPP Plc,KOZLODUY-1
Construction Start,"Wednesday, 1 April 1970",KOZLODUY-1
First Criticality,"Sunday, 30 June 1974",KOZLODUY-1
First Grid Connection,"Wednesday, 24 July 1974",KOZLODUY-1
Commercial Operation,"Monday, 28 October 1974",KOZLODUY-1
Permanent Shutdown,"Tuesday, 31 December 2002",KOZLODUY-1
Capacity Net,408 MWe,KOZLODUY-1
Capacity Gross,440 MWe,KOZLODUY-1
Thermal Capacity,1375 MWt,KOZLODUY-1
Design Net Capacity,408 MWe,KOZLODUY-1
Total GWh,61070.02,KOZLODUY-1
Reactor Type,Pressurised Water Reactor (or PWR),KOZLODUY-2
Model,VVER V-230,KOZLODUY-2
Owner,State Enterprise “Radio Active Waste”,KOZLODUY-2
Operator,Kozloduy NPP Plc,KOZLODUY-2
Construction Start,"Wednesday, 1 April 1970",KOZLODUY-2
First Criticality,"Friday, 22 August 1975",KOZLODUY-2
First Grid Connection,"Sunday, 24 August 1975",KOZLODUY-2
Commercial Operation,"Monday, 10 November 1975",KOZLODUY-2
Permanent Shutdown,"Tuesday, 31 December 2002",KOZLODUY-2
Capacity Net,408 MWe,KOZLODUY-2
Capacity Gross,440 MWe,KOZLODUY-2
Thermal Capacity,1375 MWt,KOZLODUY-2
Design Net Capacity,408 MWe,KOZLODUY-2
Total GWh,62818.67,KOZLODUY-2
Reactor Type,Pressurised Water Reactor (or PWR),KOZLODUY-3
Model,VVER V-230,KOZLODUY-3
Owner,Bulgarian Energy Holding Company,KOZLODUY-3
Operator,Kozloduy NPP Plc,KOZLODUY-3
Construction Start,"Monday, 1 October 1973",KOZLODUY-3
First Criticality,"Thursday, 4 December 1980",KOZLODUY-3
First Grid Connection,"Wednesday, 17 December 1980",KOZLODUY-3
Commercial Operation,"Tuesday, 20 January 1981",KOZLODUY-3
Permanent Shutdown,"Sunday, 31 December 2006",KOZLODUY-3
Capacity Net,408 MWe,KOZLODUY-3
Capacity Gross,440 MWe,KOZLODUY-3
Thermal Capacity,1375 MWt,KOZLODUY-3
Design Net Capacity,408 MWe,KOZLODUY-3
Total GWh,62819.19,KOZLODUY-3
Reactor Type,Pressurised Water Reactor (or PWR),KOZLODUY-4
Model,VVER V-230,KOZLODUY-4
Owner,Bulgarian Energy Holding Company,KOZLODUY-4
Operator,Kozloduy NPP Plc,KOZLODUY-4
Construction Start,"Monday, 1 October 1973",KOZLODUY-4
First Criticality,"Sunday, 25 April 1982",KOZLODUY-4
First Grid Connection,"Monday, 17 May 1982",KOZLODUY-4
Commercial Operation,"Sunday, 20 June 1982",KOZLODUY-4
Permanent Shutdown,"Sunday, 31 December 2006",KOZLODUY-4
Capacity Net,408 MWe,KOZLODUY-4
Capacity Gross,440 MWe,KOZLODUY-4
Thermal Capacity,1375 MWt,KOZLODUY-4
Design Net Capacity,408 MWe,KOZLODUY-4
Total GWh,61002.09,KOZLODUY-4
Reactor Type,Pressurised Water Reactor (or PWR),KOZLODUY-5
Model,VVER V-320,KOZLODUY-5
Owner,Bulgarian Energy Holding Company,KOZLODUY-5
Operator,Kozloduy NPP Plc,KOZLODUY-5
Construction Start,"Wednesday, 9 July 1980",KOZLODUY-5
First Criticality,"Thursday, 5 November 1987",KOZLODUY-5
First Grid Connection,"Sunday, 29 November 1987",KOZLODUY-5
Commercial Operation,"Friday, 23 December 1988",KOZLODUY-5
Capacity Net,1003 MWe,KOZLODUY-5
Capacity Gross,1040 MWe,KOZLODUY-5
Thermal Capacity,3120 MWt,KOZLODUY-5
Design Net Capacity,953 MWe,KOZLODUY-5
Total GWh,207431.48,KOZLODUY-5
Reactor Type,Pressurised Water Reactor (or PWR),KOZLODUY-6
Model,VVER V-320,KOZLODUY-6
Owner,Bulgarian Energy Holding Company,KOZLODUY-6
Operator,Kozloduy NPP Plc,KOZLODUY-6
Construction Start,"Thursday, 1 April 1982",KOZLODUY-6
First Criticality,"Wednesday, 29 May 1991",KOZLODUY-6
First Grid Connection,"Friday, 2 August 1991",KOZLODUY-6
Commercial Operation,"Thursday, 30 December 1993",KOZLODUY-6
Capacity Net,1003 MWe,KOZLODUY-6
Capacity Gross,1040 MWe,KOZLODUY-6
Thermal Capacity,3120 MWt,KOZLODUY-6
Design Net Capacity,1003 MWe,KOZLODUY-6
Total GWh,197190.81,KOZLODUY-6
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),BRUCE-3
Model,CANDU 750A,BRUCE-3
Owner,Ontario Power Generation,BRUCE-3
Operator,Bruce Power,BRUCE-3
Construction Start,"Saturday, 1 July 1972",BRUCE-3
First Criticality,"Monday, 28 November 1977",BRUCE-3
First Grid Connection,"Monday, 12 December 1977",BRUCE-3
Commercial Operation,"Wednesday, 1 February 1978",BRUCE-3
Long-term Shutdown,"Wednesday, 1 April 1998",BRUCE-3
Restart,"Thursday, 8 January 2004",BRUCE-3
Capacity Net,770 MWe,BRUCE-3
Capacity Gross,865 MWe,BRUCE-3
Thermal Capacity,2550 MWt,BRUCE-3
Design Net Capacity,750 MWe,BRUCE-3
Total GWh,199348.74,BRUCE-3
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),BRUCE-4
Model,CANDU 750A,BRUCE-4
Owner,Ontario Power Generation,BRUCE-4
Operator,Bruce Power,BRUCE-4
Construction Start,"Friday, 1 September 1972",BRUCE-4
First Criticality,"Sunday, 10 December 1978",BRUCE-4
First Grid Connection,"Thursday, 21 December 1978",BRUCE-4
Commercial Operation,"Thursday, 18 January 1979",BRUCE-4
Long-term Shutdown,"Monday, 16 March 1998",BRUCE-4
Restart,"Tuesday, 7 October 2003",BRUCE-4
Capacity Net,807 MWe,BRUCE-4
Capacity Gross,868 MWe,BRUCE-4
Thermal Capacity,2550 MWt,BRUCE-4
Design Net Capacity,750 MWe,BRUCE-4
Total GWh,200677.25,BRUCE-4
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),BRUCE-1
Model,CANDU 791,BRUCE-1
Owner,Ontario Power Generation,BRUCE-1
Operator,Bruce Power,BRUCE-1
Construction Start,"Tuesday, 1 June 1971",BRUCE-1
First Criticality,"Friday, 17 December 1976",BRUCE-1
First Grid Connection,"Friday, 14 January 1977",BRUCE-1
Commercial Operation,"Thursday, 1 September 1977",BRUCE-1
Long-term Shutdown,"Thursday, 16 October 1997",BRUCE-1
Restart,"Wednesday, 19 September 2012",BRUCE-1
Capacity Net,811 MWe,BRUCE-1
Capacity Gross,868 MWe,BRUCE-1
Thermal Capacity,2620 MWt,BRUCE-1
Design Net Capacity,732 MWe,BRUCE-1
Total GWh,159704.74,BRUCE-1
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),BRUCE-2
Model,CANDU 791,BRUCE-2
Owner,Ontario Power Generation,BRUCE-2
Operator,Bruce Power,BRUCE-2
Construction Start,"Tuesday, 1 December 1970",BRUCE-2
First Criticality,"Tuesday, 27 July 1976",BRUCE-2
First Grid Connection,"Saturday, 4 September 1976",BRUCE-2
Commercial Operation,"Thursday, 1 September 1977",BRUCE-2
Long-term Shutdown,"Sunday, 8 October 1995",BRUCE-2
Restart,"Tuesday, 16 October 2012",BRUCE-2
Capacity Net,777 MWe,BRUCE-2
Capacity Gross,836 MWe,BRUCE-2
Thermal Capacity,2620 MWt,BRUCE-2
Design Net Capacity,732 MWe,BRUCE-2
Total GWh,143112.01,BRUCE-2
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),BRUCE-5
Model,CANDU 750B,BRUCE-5
Owner,Ontario Power Generation,BRUCE-5
Operator,Bruce Power,BRUCE-5
Construction Start,"Wednesday, 31 May 1978",BRUCE-5
First Criticality,"Thursday, 15 November 1984",BRUCE-5
First Grid Connection,"Sunday, 2 December 1984",BRUCE-5
Commercial Operation,"Friday, 1 March 1985",BRUCE-5
Capacity Net,817 MWe,BRUCE-5
Capacity Gross,872 MWe,BRUCE-5
Thermal Capacity,2832 MWt,BRUCE-5
Design Net Capacity,822 MWe,BRUCE-5
Total GWh,238635.75,BRUCE-5
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),BRUCE-6
Model,CANDU 750B,BRUCE-6
Owner,Ontario Power Generation,BRUCE-6
Operator,Bruce Power,BRUCE-6
Construction Start,"Sunday, 1 January 1978",BRUCE-6
First Criticality,"Tuesday, 29 May 1984",BRUCE-6
First Grid Connection,"Tuesday, 26 June 1984",BRUCE-6
Commercial Operation,"Friday, 14 September 1984",BRUCE-6
Capacity Net,817 MWe,BRUCE-6
Capacity Gross,891 MWe,BRUCE-6
Thermal Capacity,2690 MWt,BRUCE-6
Design Net Capacity,822 MWe,BRUCE-6
Total GWh,214098.48,BRUCE-6
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),BRUCE-7
Model,CANDU 750B,BRUCE-7
Owner,Ontario Power Generation,BRUCE-7
Operator,Bruce Power,BRUCE-7
Construction Start,"Tuesday, 1 May 1979",BRUCE-7
First Criticality,"Tuesday, 7 January 1986",BRUCE-7
First Grid Connection,"Saturday, 22 February 1986",BRUCE-7
Commercial Operation,"Thursday, 10 April 1986",BRUCE-7
Capacity Net,817 MWe,BRUCE-7
Capacity Gross,872 MWe,BRUCE-7
Thermal Capacity,2832 MWt,BRUCE-7
Design Net Capacity,822 MWe,BRUCE-7
Total GWh,232968.08,BRUCE-7
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),BRUCE-8
Model,CANDU 750B,BRUCE-8
Owner,Ontario Power Generation,BRUCE-8
Operator,Bruce Power,BRUCE-8
Construction Start,"Monday, 30 July 1979",BRUCE-8
First Criticality,"Sunday, 15 February 1987",BRUCE-8
First Grid Connection,"Monday, 9 March 1987",BRUCE-8
Commercial Operation,"Friday, 22 May 1987",BRUCE-8
Capacity Net,817 MWe,BRUCE-8
Capacity Gross,872 MWe,BRUCE-8
Thermal Capacity,2690 MWt,BRUCE-8
Design Net Capacity,795 MWe,BRUCE-8
Total GWh,218380.46,BRUCE-8
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),DARLINGTON-1
Model,CANDU 850,DARLINGTON-1
Owner,Ontario Power Generation,DARLINGTON-1
Operator,Ontario Power Generation,DARLINGTON-1
Construction Start,"Thursday, 1 April 1982",DARLINGTON-1
First Criticality,"Monday, 29 October 1990",DARLINGTON-1
First Grid Connection,"Wednesday, 19 December 1990",DARLINGTON-1
Commercial Operation,"Saturday, 14 November 1992",DARLINGTON-1
Capacity Net,878 MWe,DARLINGTON-1
Capacity Gross,934 MWe,DARLINGTON-1
Thermal Capacity,2776 MWt,DARLINGTON-1
Design Net Capacity,881 MWe,DARLINGTON-1
Total GWh,193492.89,DARLINGTON-1
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),DARLINGTON-2
Model,CANDU 850,DARLINGTON-2
Owner,Ontario Power Generation,DARLINGTON-2
Operator,Ontario Power Generation,DARLINGTON-2
Construction Start,"Tuesday, 1 September 1981",DARLINGTON-2
First Criticality,"Sunday, 5 November 1989",DARLINGTON-2
First Grid Connection,"Monday, 15 January 1990",DARLINGTON-2
Commercial Operation,"Tuesday, 9 October 1990",DARLINGTON-2
Capacity Net,878 MWe,DARLINGTON-2
Capacity Gross,934 MWe,DARLINGTON-2
Thermal Capacity,2776 MWt,DARLINGTON-2
Design Net Capacity,881 MWe,DARLINGTON-2
Total GWh,184245.22,DARLINGTON-2
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),DARLINGTON-3
Model,CANDU 850,DARLINGTON-3
Owner,Ontario Power Generation,DARLINGTON-3
Operator,Ontario Power Generation,DARLINGTON-3
Construction Start,"Saturday, 1 September 1984",DARLINGTON-3
First Criticality,"Monday, 9 November 1992",DARLINGTON-3
First Grid Connection,"Monday, 7 December 1992",DARLINGTON-3
Commercial Operation,"Sunday, 14 February 1993",DARLINGTON-3
Capacity Net,878 MWe,DARLINGTON-3
Capacity Gross,934 MWe,DARLINGTON-3
Thermal Capacity,2776 MWt,DARLINGTON-3
Design Net Capacity,881 MWe,DARLINGTON-3
Total GWh,186367.72,DARLINGTON-3
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),DARLINGTON-4
Model,CANDU 850,DARLINGTON-4
Owner,Ontario Power Generation,DARLINGTON-4
Operator,Ontario Power Generation,DARLINGTON-4
Construction Start,"Monday, 1 July 1985",DARLINGTON-4
First Criticality,"Saturday, 13 March 1993",DARLINGTON-4
First Grid Connection,"Saturday, 17 April 1993",DARLINGTON-4
Commercial Operation,"Monday, 14 June 1993",DARLINGTON-4
Capacity Net,878 MWe,DARLINGTON-4
Capacity Gross,934 MWe,DARLINGTON-4
Thermal Capacity,2776 MWt,DARLINGTON-4
Design Net Capacity,881 MWe,DARLINGTON-4
Total GWh,200086.55,DARLINGTON-4
Reactor Type,Pressurized Heavy Water Reactor (or PHWR),DOUGLAS%20POINT
Model,CANDU 200,DOUGLAS%20POINT
Owner,AECL,DOUGLAS%20POINT
Operator,Ontario Hydro,DOUGLAS%20POINT
Construction Start,"Monday, 1 February 1960",DOUGLAS%20POINT
First Criticality,"Tuesday, 15 November 1966",DOUGLAS%20POINT
First Grid Connection,"Saturday, 7 January 1967",DOUGLAS%20POINT
Commercial Operation,"Thursday, 26 September 1968",DOUGLAS%20POINT
Permanent Shutdown,"Friday, 4 May 1984",DOUGLAS%20POINT
Capacity Net,206 MWe,DOUGLAS%20POINT
Capacity Gross,218 MWe,DOUGLAS%20POINT
Thermal Capacity,704 MWt,DOUGLAS%20POINT
Design Net Capacity,203 MWe,DOUGLAS%20POINT
Total GWh,14262.67,DOUGLAS%20POINT
